CSDUID,CSDNAME,Type,Price,Bedrooms,Bathrooms,Hydro,Heat,Water,Size,Agreement Type,Population,Province,combined_coordinates
3501012,Cornwall,House,2600.0,2.0,3.0,0,0,0,1500.0,1 Year,49442,Ontario,"45.0334732,-74.7082731"
3501012,Cornwall,House,1600.0,2.0,1.5,0,0,1,900.0,1 Year,49442,Ontario,"45.0192984,-74.721471"
3501012,Cornwall,House,1150.0,4.0,1.0,1,1,1,3500.0,1 Year,49442,Ontario,"45.0261462,-74.6875813"
3501012,Cornwall,House,2100.0,3.0,2.0,0,0,0,1300.0,1 Year,49442,Ontario,"45.0217848,-74.7129324"
3501012,Cornwall,House,2200.0,3.0,2.0,0,0,1,1500.0,1 Year,49442,Ontario,"45.036524,-74.7269475"
3501012,Cornwall,House,2400.0,3.0,2.0,0,0,0,1100.0,1 Year,49442,Ontario,"45.0251986,-74.7202712"
3501012,Cornwall,House,2300.0,2.5,2.0,0,0,0,1100.0,1 Year,49442,Ontario,"45.0446166,-74.743541"
3501012,Cornwall,House,2300.0,3.0,1.0,0,0,1,1000.0,Month-to-month,49442,Ontario,"45.0226232,-74.7201601"
3501012,Cornwall,House,1740.0,3.0,1.0,0,0,1,1200.0,1 Year,49442,Ontario,"45.0541762,-74.7661501"
3501012,Cornwall,House,2600.0,4.0,2.0,0,0,0,1200.0,1 Year,49442,Ontario,"45.0290106,-74.7107016"
3501012,Cornwall,House,2350.0,3.0,2.0,0,0,1,1200.0,1 Year,49442,Ontario,"45.0466966,-74.7452244"
3501012,Cornwall,House,2500.0,3.0,1.5,0,0,0,1300.0,1 Year,49442,Ontario,"45.026129,-74.6943839"
3501012,Cornwall,Townhouse,2160.0,3.5,1.0,0,0,1,1600.0,1 Year,49442,Ontario,"45.0151388,-74.7337001"
3501020,South Dundas,House,2200.0,1.0,1.0,0,0,0,1550.0,1 Year,11218,Ontario,"44.950217,-75.2833376"
3501020,South Dundas,Townhouse,1295.0,3.0,1.0,0,0,0,900.0,1 Year,11218,Ontario,"44.9453534,-75.1870273"
3501030,North Dundas,Apartment,1400.0,2.0,1.0,0,0,0,730.0,1 Year,12332,Ontario,"45.1009288,-75.2402462"
3501030,North Dundas,House,2000.0,3.0,1.5,0,0,1,1500.0,1 Year,12332,Ontario,"45.0950113,-75.2369148"
3501030,North Dundas,Apartment,1400.0,2.0,1.0,0,0,0,1000.0,1 Year,12332,Ontario,"45.093,-75.3537688"
3501030,North Dundas,Apartment,1425.0,1.0,1.0,0,1,1,650.0,1 Year,12332,Ontario,"45.0869777,-75.3716338"
3501030,North Dundas,Apartment,1450.0,1.0,1.0,0,0,0,600.0,1 Year,12332,Ontario,"45.1035256,-75.22892"
3501030,North Dundas,Apartment,2000.0,3.0,1.0,0,1,1,1234.0,1 Year,12332,Ontario,"45.1299843,-75.3590755"
3501042,North Stormont,Basement,1825.0,2.0,1.0,0,1,1,1000.0,1 Year,7828,Ontario,"45.2452887,-75.001594"
